取得日時,対象日,漁港名,天気,平均降水確率,おすすめ時間の降水確率,風速,おすすめ時間帯,おすすめ理由,ランク,都道府県,市
2026-07-01 10:00:12,2026-07-01,中津港,小雨,95.9%,96%,2.5m/s,2026-07-01 05:00:00 ～ 2026-07-01 07:00:00,朝まずめ・雨が降ります・風は普通,E,大分県,中津市
2026-07-01 10:00:12,2026-07-02,中津港,強雨,59.8%,91%,11.2m/s,2026-07-02 04:00:00 ～ 2026-07-02 06:00:00,朝まずめ・雨が降るでしょう・釣りどころではない風,E,大分県,中津市
2026-07-01 10:00:13,2026-07-01,別府国際観光港,小雨,97.1%,100%,1.4m/s,2026-06-30 23:00:00 ～ 2026-07-01 01:00:00,雨が降ります・風がかなり弱い,E,大分県,別府市
2026-07-01 10:00:13,2026-07-02,別府国際観光港,強雨,65.7%,98%,2.3m/s,2026-07-02 05:00:00 ～ 2026-07-02 07:00:00,朝まずめ・雨が降ります・風は普通,E,大分県,別府市
2026-07-01 10:00:15,2026-07-01,大分港,雨,97.1%,99%,3.8m/s,2026-07-01 04:00:00 ～ 2026-07-01 06:00:00,朝まずめ・雨が降ります・風が少し気になる,E,大分県,大分市
2026-07-01 10:00:15,2026-07-02,大分港,強雨,65.7%,100%,8.6m/s,2026-07-02 04:00:00 ～ 2026-07-02 06:00:00,朝まずめ・雨が降ります・釣りどころではない風,E,大分県,大分市
2026-07-01 10:00:16,2026-07-01,佐賀関港,小雨,84.4%,100%,1.0m/s,2026-07-01 01:00:00 ～ 2026-07-01 03:00:00,雨が降ります・風がかなり弱い,E,大分県,大分市
2026-07-01 10:00:16,2026-07-02,佐賀関港,強雨,45.6%,92%,3.0m/s,2026-07-02 02:00:00 ～ 2026-07-02 04:00:00,雨の可能性あり・風は普通,E,大分県,大分市
2026-07-01 10:00:17,2026-07-01,臼杵港,小雨,75.5%,92%,3.6m/s,2026-07-01 04:00:00 ～ 2026-07-01 06:00:00,朝まずめ・雨が降ります・風が少し気になる,E,大分県,臼杵市
2026-07-01 10:00:17,2026-07-02,臼杵港,曇,46.6%,15%,1.8m/s,2026-07-02 10:00:00 ～ 2026-07-02 12:00:00,雨の可能性あり・風がかなり弱い,E,大分県,臼杵市
2026-07-01 10:00:17,2026-07-01,亀川港,小雨,97.1%,99%,1.5m/s,2026-07-01 21:00:00 ～ 2026-07-01 23:00:00,夜釣り向き・雨が降ります・風がかなり弱い,E,大分県,別府市
2026-07-01 10:00:17,2026-07-02,亀川港,強雨,65.7%,100%,13.0m/s,2026-07-02 04:00:00 ～ 2026-07-02 06:00:00,朝まずめ・雨が降ります・釣りどころではない風,E,大分県,別府市
